method,lr,weight_decay,hidden_channels,power,val_acc,test_acc
gcn_strc, 0.01,0.0005,8,2,74.0500 ± 0.2390, 73.9572 ± 0.1232
gcn_strc, 0.001,0.0005,8,2,78.7748 ± 3.4527, 78.8225 ± 3.3468
gcn_strc, 0.01,0.001,8,2,74.0167 ± 0.1816, 73.9124 ± 0.1777
gcn_strc, 0.001,0.0005,16,2,76.1675 ± 2.5709, 76.1432 ± 2.5151
gcn_strc, 0.001,0.001,8,2,78.7589 ± 3.3386, 78.8456 ± 3.2209
gcn_strc, 0.001,0.001,16,2,77.0345 ± 1.9879, 77.0288 ± 1.9954
gcn_strc, 0.01,0.0005,16,2,74.0855 ± 0.2392, 73.9673 ± 0.1520
gcn_strc, 0.01,0.001,16,2,74.0415 ± 0.2174, 73.9433 ± 0.1898
gcn_strc, 0.001,0.0005,8,5,81.3766 ± 1.4003, 81.4741 ± 1.3352
gcn_strc, 0.01,0.0005,32,2,74.0413 ± 0.2299, 73.9648 ± 0.1150
gcn_strc, 0.01,0.0005,8,5,73.4540 ± 0.2091, 73.3471 ± 0.2020
gcn_strc, 0.01,0.001,16,5,73.8798 ± 0.1614, 73.7470 ± 0.2399
gcn_strc, 0.001,0.001,32,2,75.4162 ± 1.7872, 75.3639 ± 1.7139
gcn_strc, 0.01,0.001,32,2,73.9860 ± 0.1835, 73.8902 ± 0.1836
gcn_strc, 0.001,0.001,8,5,81.0849 ± 0.8760, 81.1982 ± 0.8551
gcn_strc, 0.01,0.001,8,5,73.8111 ± 0.1665, 73.6906 ± 0.1910
gcn_strc, 0.01,0.0005,16,5,73.4233 ± 0.1674, 73.3144 ± 0.1679
gcn_strc, 0.001,0.001,16,5,80.9040 ± 1.6995, 80.9309 ± 1.7636
gcn_strc, 0.001,0.001,32,5,81.1783 ± 0.9306, 81.2788 ± 0.9631
gcn_strc, 0.01,0.0005,32,5,73.4854 ± 0.1673, 73.3719 ± 0.1643
gcn_strc, 0.01,0.001,32,5,73.8110 ± 0.2152, 73.7004 ± 0.1961
gcn_strc, 0.001,0.0005,8,10,81.7864 ± 0.5420, 81.8826 ± 0.4930
