method,lr,weight_decay,hidden_channels,power1,power2,normalize_feature,val_acc,test_acc
ognn, 0.01,0.001,64,2,1,False,94.8000 ± 2.0763, 92.4411 ± 0.7276
ognn, 0.01,0.001,64,2,2,False,95.0667 ± 1.8012, 92.2513 ± 1.0665
ognn, 0.001,0.001,64,2,1,False,93.8667 ± 2.6415, 92.9580 ± 0.9894
ognn, 0.01,0.001,64,5,1,False,95.3333 ± 1.8856, 91.9919 ± 1.8200
ognn, 0.01,0.001,64,5,2,False,95.2000 ± 1.7256, 92.4352 ± 1.6991
ognn, 0.001,0.001,64,2,2,False,93.8667 ± 2.6415, 92.6402 ± 0.9370
ognn, 0.01,0.001,128,2,1,False,95.0667 ± 2.1396, 91.3045 ± 1.8985
ognn, 0.01,0.001,64,5,5,False,95.2000 ± 1.8499, 92.3167 ± 1.4918
ognn, 0.001,0.001,64,5,1,False,93.8667 ± 3.0332, 93.2278 ± 1.3398
ognn, 0.01,0.001,128,2,2,False,95.2000 ± 1.5202, 92.1239 ± 2.3298
ognn, 0.01,0.001,64,10,1,False,95.0667 ± 2.2410, 92.5293 ± 1.3151
ognn, 0.01,0.001,64,10,2,False,94.9333 ± 1.6733, 92.3558 ± 2.3466
ognn, 0.001,0.001,128,2,1,False,94.5333 ± 1.2824, 92.7541 ± 1.4491
ognn, 0.001,0.001,64,5,2,False,93.7333 ± 3.0405, 93.2973 ± 0.8599
ognn, 0.001,0.001,64,2,5,False,94.0000 ± 2.3570, 92.4750 ± 1.2216
ognn, 0.01,0.001,128,5,1,False,95.0667 ± 1.8012, 92.3138 ± 1.1748
ognn, 0.01,0.001,64,10,5,False,94.8000 ± 1.5916, 93.2926 ± 0.8505
ognn, 0.01,0.001,128,5,2,False,94.8000 ± 1.6600, 92.0410 ± 1.3587
ognn, 0.01,0.001,128,2,5,False,95.3333 ± 1.3333, 91.2823 ± 1.7263
ognn, 0.001,0.001,128,2,2,False,94.2667 ± 1.9777, 92.3301 ± 1.4133
ognn, 0.001,0.001,64,5,5,False,94.2667 ± 2.1909, 93.4141 ± 0.8373
ognn, 0.001,0.0005,64,2,1,False,93.6000 ± 2.4766, 92.5153 ± 1.1963
ognn, 0.001,0.001,64,10,1,False,93.6000 ± 2.5210, 93.4276 ± 0.9890
ognn, 0.01,0.001,128,5,5,False,94.5333 ± 1.5202, 92.6969 ± 1.4367
ognn, 0.001,0.001,128,5,1,False,94.4000 ± 1.6733, 93.4159 ± 0.7666
ognn, 0.001,0.0005,64,2,2,False,93.8667 ± 2.3286, 92.6023 ± 0.8993
ognn, 0.001,0.001,64,10,2,False,93.8667 ± 1.9664, 93.4614 ± 1.0945
ognn, 0.01,0.001,128,10,1,False,94.8000 ± 1.7889, 92.1356 ± 1.8466
ognn, 0.01,0.001,64,20,1,False,95.0667 ± 1.8012, 92.6805 ± 1.4677
ognn, 0.01,0.001,64,20,2,False,95.2000 ± 1.9090, 92.8049 ± 1.4208
ognn, 0.01,0.001,128,10,2,False,95.3333 ± 1.2472, 92.4563 ± 1.8061
ognn, 0.001,0.001,128,5,2,False,94.4000 ± 2.1396, 93.2728 ± 0.9656
ognn, 0.01,0.0005,128,5,2,False,95.2000 ± 1.8499, 91.3489 ± 2.5254
ognn, 0.001,0.001,128,2,5,False,94.5333 ± 1.1926, 93.0900 ± 0.8180
ognn, 0.001,0.001,64,10,5,False,93.8667 ± 1.9664, 92.8785 ± 1.8302
ognn, 0.01,0.001,64,20,5,False,95.3333 ± 2.0000, 92.9732 ± 0.9267
