method,lr,weight_decay,hidden_channels,power1,power2,normalize_feature,val_acc,test_acc
ognn, 0.01,0.001,64,2,1,False,88.4420 ± 0.9504, 88.4740 ± 0.9864
ognn, 0.001,0.001,64,2,1,False,86.7889 ± 0.3599, 86.7940 ± 0.2731
ognn, 0.01,0.001,64,5,1,False,87.5595 ± 1.2640, 87.6172 ± 1.1616
ognn, 0.01,0.001,128,2,1,False,88.5009 ± 0.7222, 88.5159 ± 0.7569
ognn, 0.01,0.001,64,5,2,False,86.8900 ± 0.9485, 86.9052 ± 0.9141
ognn, 0.001,0.001,64,2,2,False,87.7195 ± 0.5400, 87.7221 ± 0.6614
ognn, 0.01,0.001,64,2,5,False,88.2616 ± 1.7063, 88.2507 ± 1.6088
ognn, 0.01,0.001,128,2,2,False,89.1200 ± 0.2808, 89.1374 ± 0.3382
ognn, 0.001,0.0005,64,2,1,False,86.9349 ± 0.5604, 86.9536 ± 0.7225
ognn, 0.001,0.001,64,5,1,False,85.2377 ± 1.3463, 85.2774 ± 1.3292
ognn, 0.01,0.001,64,5,5,False,87.9384 ± 1.8420, 87.9602 ± 1.8101
ognn, 0.001,0.001,128,2,1,False,87.3477 ± 0.7525, 87.3695 ± 0.8687
ognn, 0.01,0.001,64,10,1,False,85.5472 ± 0.6424, 85.5816 ± 0.6309
ognn, 0.001,0.001,64,5,2,False,87.1739 ± 1.0170, 87.1855 ± 0.9174
ognn, 0.001,0.001,64,2,5,False,88.7186 ± 0.4135, 88.7124 ± 0.4229
ognn, 0.01,0.001,128,5,1,False,87.7875 ± 0.5717, 87.7791 ± 0.5175
ognn, 0.01,0.001,64,10,2,False,85.4554 ± 0.5318, 85.4713 ± 0.6070
ognn, 0.001,0.0005,64,2,2,False,87.9569 ± 0.4770, 87.9499 ± 0.5990
ognn, 0.01,0.001,128,5,2,False,86.6040 ± 1.1330, 86.5809 ± 1.2695
ognn, 0.001,0.001,128,2,2,False,87.4568 ± 0.3111, 87.4742 ± 0.3410
ognn, 0.01,0.001,128,2,5,False,89.6975 ± 0.5113, 89.7260 ± 0.5138
ognn, 0.01,0.001,64,10,5,False,85.1761 ± 0.6590, 85.1835 ± 0.7159
ognn, 0.001,0.001,64,5,5,False,88.4934 ± 0.4955, 88.5373 ± 0.5842
ognn, 0.001,0.0005,64,5,1,False,85.3207 ± 1.4776, 85.3752 ± 1.4307
ognn, 0.001,0.001,64,10,1,False,81.6333 ± 1.3583, 81.6843 ± 1.3144
ognn, 0.001,0.0005,64,2,5,False,89.0365 ± 0.4860, 89.0462 ± 0.3910
ognn, 0.001,0.0005,64,5,2,False,88.2737 ± 0.2640, 88.2797 ± 0.3290
ognn, 0.001,0.001,64,10,2,False,84.6355 ± 1.4377, 84.6499 ± 1.5378
ognn, 0.01,0.001,128,5,5,False,87.8517 ± 0.5103, 87.8465 ± 0.5954
ognn, 0.001,0.001,128,5,1,False,85.0343 ± 0.9566, 85.0382 ± 0.9819
ognn, 0.01,0.001,64,20,1,False,80.9439 ± 3.6950, 80.9175 ± 3.7908
ognn, 0.01,0.001,128,10,1,False,83.8572 ± 1.7671, 83.8520 ± 1.8439
ognn, 0.01,0.001,64,20,2,False,82.6002 ± 2.4412, 82.6247 ± 2.4679
ognn, 0.01,0.0005,128,5,2,False,87.3142 ± 1.7061, 87.3203 ± 1.6658
ognn, 0.01,0.001,128,10,2,False,83.4244 ± 0.6982, 83.3501 ± 0.8684
ognn, 0.001,0.001,128,5,2,False,87.3212 ± 0.5512, 87.3670 ± 0.5079
ognn, 0.001,0.001,128,2,5,False,88.7521 ± 0.2659, 88.7671 ± 0.2712
ognn, 0.001,0.001,64,10,5,False,87.5307 ± 0.7840, 87.5306 ± 0.8092
ognn, 0.01,0.001,64,20,5,False,83.3255 ± 2.3447, 83.3008 ± 2.4395
ognn, 0.001,0.0005,64,5,5,False,89.0021 ± 0.1948, 89.0302 ± 0.2568
ognn, 0.001,0.0005,128,2,1,False,87.3368 ± 0.6447, 87.3357 ± 0.7218
