method,lr,weight_decay,hidden_channels,power,dropout,dprate,val_acc,test_acc
bernnet, 0.01,0.0005,64,10,0.5,0.0,92.9333 ± 1.5348, 91.3027 ± 0.8619
bernnet, 0.01,0.0005,64,10,0.0,0.0,81.6000 ± 5.1983, 82.2124 ± 4.1075
bernnet, 0.01,0.0005,64,10,0.5,0.5,89.3333 ± 5.1424, 88.6973 ± 4.4478
bernnet, 0.01,0.0005,64,10,0.0,0.5,79.6000 ± 13.4048, 80.2576 ± 13.4570
bernnet, 0.01,0.0005,128,10,0.0,0.0,90.0000 ± 1.3333, 87.6454 ± 2.7350
bernnet, 0.01,0.0005,128,10,0.5,0.0,89.6000 ± 2.3381, 89.5996 ± 1.9557
bernnet, 0.01,0.0005,128,10,0.0,0.5,78.5333 ± 15.0067, 77.6024 ± 11.5500
bernnet, 0.01,0.0,64,10,0.0,0.0,81.8667 ± 5.4242, 82.2521 ± 4.1916
bernnet, 0.01,0.0,64,10,0.5,0.0,92.8000 ± 1.5916, 90.9798 ± 1.1333
bernnet, 0.01,0.0,64,10,0.0,0.5,79.4667 ± 14.0270, 80.3902 ± 13.8393
bernnet, 0.01,0.0,64,10,0.5,0.5,89.7333 ± 5.5297, 87.5309 ± 5.2366
bernnet, 0.01,0.0005,128,10,0.5,0.5,90.4000 ± 2.7325, 89.1949 ± 2.6408
bernnet, 0.01,0.0,128,10,0.0,0.0,89.7333 ± 1.3824, 87.6979 ± 2.5757
bernnet, 0.01,0.0,128,10,0.0,0.5,78.4000 ± 15.0599, 78.1795 ± 10.8556
bernnet, 0.001,0.0005,64,10,0.0,0.0,69.6000 ± 12.0794, 70.9027 ± 10.4428
bernnet, 0.01,0.0,128,10,0.5,0.0,89.6000 ± 2.3381, 89.6125 ± 1.9682
bernnet, 0.001,0.0005,64,10,0.5,0.0,90.2667 ± 3.7298, 89.2831 ± 1.1273
bernnet, 0.01,0.0,128,10,0.5,0.5,90.4000 ± 3.8471, 89.5804 ± 2.1893
bernnet, 0.001,0.0005,64,10,0.0,0.5,74.6667 ± 16.7000, 75.6785 ± 16.1837
bernnet, 0.001,0.0005,64,10,0.5,0.5,87.0667 ± 6.0480, 87.7709 ± 4.0049
bernnet, 0.001,0.0005,128,10,0.0,0.0,88.1333 ± 2.2311, 85.1134 ± 3.2863
bernnet, 0.001,0.0,64,10,0.0,0.0,69.6000 ± 12.0794, 70.9348 ± 10.4792
bernnet, 0.001,0.0005,128,10,0.0,0.5,71.4667 ± 24.3420, 69.8303 ± 22.9143
bernnet, 0.001,0.0005,128,10,0.5,0.0,88.2667 ± 2.8906, 87.9257 ± 2.9656
bernnet, 0.001,0.0,64,10,0.5,0.0,90.2667 ± 3.5465, 89.3917 ± 0.9605
bernnet, 0.001,0.0,64,10,0.0,0.5,74.5333 ± 16.7026, 75.5857 ± 16.2000
bernnet, 0.001,0.0005,128,10,0.5,0.5,90.0000 ± 4.0277, 89.5319 ± 1.1369
bernnet, 0.001,0.0,64,10,0.5,0.5,86.6667 ± 6.3596, 87.6716 ± 3.9799
bernnet, 0.001,0.0,128,10,0.0,0.0,88.1333 ± 2.2311, 85.0825 ± 3.3455
bernnet, 0.001,0.0,128,10,0.5,0.0,88.2667 ± 2.8906, 87.9391 ± 2.9511
bernnet, 0.001,0.0,128,10,0.0,0.5,71.3333 ± 24.8149, 69.7334 ± 22.9942
bernnet, 0.001,0.0,128,10,0.5,0.5,89.8667 ± 3.6332, 89.7159 ± 1.1880
